Model,Accuracy,PrecisionMacro,RecallMacro,F1Macro,TrainTimeSec,PredTimeSec,Rank
xgboost,0.9695,0.969286692339469,0.9692476300041604,0.9692514319487398,192.53337820799788,0.08693204098381102,1
random_forest,0.9687,0.9685034063834943,0.9684247667166274,0.9684452768588582,5.822963584039826,0.06675012496998534,2
SVM_RBF,0.9588,0.9593138835407652,0.958357303321699,0.9587022619490264,80.99550499999896,61.82800683303503,3
bagging,0.9487,0.9482963426605655,0.9481303052824144,0.9481341811702573,35.00806233298499,0.20164766599191353,4
KNN,0.9483,0.9486689893851725,0.9475744123901378,0.9478384918271197,0.025006958981975913,2.3708038339973427,5
SVM_Linear,0.9347,0.9342026124699239,0.9336629154600005,0.9337514257156938,112.91812220803695,10.2166981670307,6
DecisionTree,0.8808,0.8793871696166067,0.8790200746633425,0.8790710349903549,6.351165457977913,0.012799209041986614,7
adaboost,0.8324,0.835108957295413,0.8308723147129106,0.8318568944244458,118.3886365420185,0.1474873329862021,8
MultinomialNB,0.8307,0.8364347799413714,0.8275338778098302,0.828955804372195,0.017820041975937784,0.020352708001155406,9
GaussianNB,0.5359,0.6690673621824809,0.5283266615664397,0.47535538455824244,0.09075366699835286,0.04225733404746279,10
